movie_id,name,release_date,release_year,imdb_id
433,Blackmail,2005-01-28,2005,tt0444769
434,Chehraa,2005-02-18,2005,tt0449870
435,Fareb,2005-07-08,2005,tt0444820
436,Pyaar Mein Twist,2005-09-02,2005,tt0439754
437,Khullam Khulla Pyaar Karen,2005-04-29,2005,
438,Ssukh,2005-06-17,2005,tt0466398
439,Hadh Kar Di Aapne,2000-04-14,2000,tt0244528
440,Ab Tak Chhappan,2004-02-27,2004,
441,Ab Tumhare Hawale Watan Saathiyo,2004-12-24,2004,tt0397882
442,Aetbaar,2004-01-23,2004,tt0377340
443,Aitraaz,2004-11-12,2004,tt0418460
444,Asambhav,2004-07-23,2004,tt0368580
445,Bardaasht,2004-04-23,2004,tt0409724
447,Chameli,2004-01-09,2004,tt0383975
448,Deewaar - Let's Bring Our Heroes Home,2004-06-25,2004,tt0387989
449,Main Toh Hoon Hi Ulta,2013-04-26,2013,
450,Dhoom,2004-08-27,2004,tt0422091
451,Veer Zaara,2004-11-12,2004,tt0420332
452,Main Hoon Na,2004-04-30,2004,tt0347473
453,Mujhse Shaadi Karogi,2004-07-30,2004,tt0418362
454,Khakee,2004-01-23,2004,tt0347332
455,Lakshya,2004-06-18,2004,tt0323013
456,Hum Tum,2004-05-28,2004,tt0378072
457,Masti,2004-04-09,2004,tt0406977
458,Murder,2004-04-02,2004,tt0405507
459,Hulchul,2004-11-26,2004,tt0437238
460,Swades,2004-12-17,2004,
461,Garv - Pride & Honour,2004-07-09,2004,tt0415003
462,Musafir,2004-12-10,2004,tt0430381
463,Yuva,2004-05-21,2004,tt0382383
464,Shootout At Wadala,2013-05-03,2013,
465,Aan - Men at Work,2004-06-04,2004,tt0363409
466,Fida,2004-08-20,2004,tt0422236
467,Julie,2004-07-23,2004,tt0421277
468,Dil Ne Jise Apna Kahaa,2004-09-10,2004,tt0396563
469,Kyun! Ho Gaya Na....,2004-08-13,2004,tt0349703
470,Rudraksh,2004-02-13,2004,tt0366985
471,Plan,2004-01-09,2004,tt0364604
472,Vaastu Shastra,2004-10-22,2004,tt0416282
473,Lakeer,2004-05-14,2004,
474,I Proud To Be An Indian,2004-02-13,2004,tt0379818
475,Raincoat,2004-12-24,2004,tt0405266
476,Charas - A Joint Effort,2004-05-07,2004,tt0410952
477,Kismat,2004-02-20,2004,tt0391274
478,Ek Hasina Thi,2004-01-16,2004,tt0352314
479,Phir Milenge,2004-08-27,2004,tt0422950
480,Yeh Lamhe Judaai Ke,2004-04-09,2004,tt0385351
481,Tumsa Nahin Dekha,2004-09-24,2004,tt0430702
482,Taarzan - The Wonder Car,2004-08-06,2004,tt0435437
483,Run,2004-05-14,2004,tt0411815
484,Dil Maange More,2004-12-31,2004,tt0328729
486,Rakht,2004-09-03,2004,tt0418096
487,Muskaan,2004-03-26,2004,tt0409068
488,Krishna Cottage,2004-04-16,2004,tt0408976
489,Madhoshi,2004-09-24,2004,tt0430328
490,Gayab,2004-07-16,2004,tt0414040
491,Police Force - An Inside Story,2004-05-28,2004,tt0416120
492,Paisa Vasool,2004-01-09,2004,tt0396782
493,Shukriya,2004-10-08,2004,
494,Naach,2004-11-12,2004,tt0433605
495,Shart - The Challenge,2004-08-13,2004,tt0410591
496,Ek Se Badhkar Ek,2004-09-17,2004,tt0338959
497,Ishq Hai Tumse,2004-01-02,2004,tt0392950
498,Agnipankh,2004-02-27,2004,tt0363413
499,Dobara,2004-09-24,2004,tt0430030
500,Suno Sasurjee,2004-02-27,2004,tt0402606
501,Shaadi Ka Laddoo,2004-04-23,2004,tt0414503
502,Insaaf - The Justice,2004-03-05,2004,tt0405046
503,Meri Biwi Ka Jawab Nahin,2004-07-02,2004,tt0187279
504,Inteqam - The Perfect Game,2004-10-29,2004,tt0349620
505,Wajahh - A Reason to Kill,2004-10-08,2004,
506,Woh Tera Naam Tha,2004-01-30,2004,
507,Koi Mil Gaya,2003-08-08,2003,tt0254481
508,Kal Ho Naa Ho,2003-11-27,2003,tt0347304
509,The Hero - Love Story of a Spy,2003-04-11,2003,tt0347167
510,Baghban,2003-10-03,2003,tt0337578
511,Munnabhai M.B.B.S.,2003-12-19,2003,tt0374887
512,L.O.C Kargil,2003-12-26,2003,
513,Qayamat,2003-07-11,2003,
514,Andaaz,2003-05-23,2003,tt0346507
515,Chalte Chalte,2003-06-13,2003,tt0346723
516,Main Prem Ki Diwani Hoon,2003-06-27,2003,tt0265148
517,Tere Naam,2003-08-15,2003,tt0374271
518,Hungama,2003-08-01,2003,tt0371735
519,Bhoot,2003-05-30,2003,tt0341266
520,Janasheen,2003-11-26,2003,tt0366630
521,Zameen,2003-09-26,2003,tt0382385
522,Ek Aur Ek Gyarah,2003-03-28,2003,
523,Gangaajal,2003-08-29,2003,tt0373856
524,Jism,2003-01-17,2003,tt0348843
525,Jaal - The Trap,2003-07-18,2003,tt0340178
526,Khushi,2003-02-07,2003,tt0348656
527,Talaash - The Hunt Begins...,2003-01-03,2003,tt0338477
528,Ishq Vishk,2003-05-09,2003,tt0362771
529,Boom,2003-09-19,2003,tt0330082
530,Khel,2003-10-03,2003,tt0371775
531,Kuch Naa Kaho,2003-09-05,2003,tt0369637
532,Armaan,2003-05-16,2003,tt0331851
533,Out Of Control,2003-11-21,2003,tt0388315
534,Dil Ka Rishta,2003-01-17,2003,tt0330217
535,Hazaaron Khwaishein Aisi,2005-04-15,2005,
536,Haasil,2003-05-16,2003,tt0362696
