imdb_id,title,year,rating,votes
tt4425254,Aaj Ka Krantiveer,2004,-,-
tt0156256,Aaj,1987,5.7,279
tt0244528,Hadh Kar Di Aapne,2000,5.3,"1,721"
tt0364201,Aman Ke Farishtey,2016,6.5,22
tt0290689,Kahin Din Kahin Raat,1968,5.6,14
tt1538210,Aao Wish Karein,2009,5.0,580
tt0177500,Aaj Ki Duniya,1940,-,-
-,Chandigarh Kare Aashiqui,2021,-,-
tt0232575,Saltanat,1954,-,-
tt0089610,Mohabbat,1985,6.0,98
tt0129422,Tarana,1951,7.1,133
tt7518766,Atal Faisla,2018,-,-
tt3846440,Pyar Ka Nasha,2001,-,-
tt0230607,Pal Do Pal Ka Saath,1978,-,-
tt1918927,Luv Ka the End,2011,4.8,"1,421"
tt0351552,Phulwari,1984,5.8,6
tt2787104,Purana Purush,1978,8.3,33
tt0259558,Sati Sone,1932,-,-
tt8302626,Pyaar Kaa Fundaa,2010,-,-
tt0158843,Pannadai,1945,-,-
tt2710380,Vanchit,1990,-,-
-,Lagg Gayii...,,-,-
tt0214704,Gandhinagar 2nd Street,1986,7.6,716
tt0414714,Girlfriend,2004,3.1,342
tt3720320,Jab Pyar Kiya to Darna Kya,1991,4.9,9
tt0106724,Dil Hi To Hai,1992,5.2,101
tt1281902,Anmol Sitaare,1982,7.0,5
tt0155730,Gunehgaar,1939,-,-
tt0266885,Ramnagari,1982,6.2,9
tt8710556,3rd EYE,2019,6.3,6
-,Majhe,2021,-,-
tt0979913,Life Mein Kabhie Kabhiee,2007,5.8,269
tt1024943,Om Shanti Om,2007,6.7,"39,455"
tt0081453,Satah Se Uthata Aadmi,1980,6.7,68
tt0332165,Jungle Queen,1956,-,-
tt0042637,Khiladi,1950,-,-
tt3828436,Dwarikadheesh,1956,-,-
tt3817852,Shri Ram Hanuman Yudha,1975,-,-
-,Satra Ko Shaadi Hai,,-,-
-,Viral,V,-,-
tt0497640,Mr. 100%,2006,4.5,47
tt0243639,Veerta,1993,5.8,82
tt0063533,Sadhu Aur Shaitaan,1968,6.7,131
tt0357694,Gauri Puja,1956,-,-
-,Skates,,-,-
tt1286575,Maharaja Vikram,1965,-,-
tt0265902,Trilok Sundari,1980,8.4,31
tt2034011,Hum Tum Shabana,2011,3.6,289
tt11140762,Up Wali Love Story,2019,-,-
tt0231218,Baghban,1938,7.2,8
tt0823604,Doorie,1989,-,-
tt2947796,Shabnam Bani Shola,2001,-,-
-,The River of Love,2021,-,-
tt4942352,Local Dada,2005,-,-
tt0173081,Pyaar To Hona Hi Tha,1998,6.7,"2,957"
tt13407506,Ek Anokhi Dulhan - Saavi,2017,-,-
-,Gangs of Gamebaaz,,-,-
tt3532662,Jism Aur Jaan,1991,-,-
tt3763726,Rana the Don,2000,-,-
tt0398188,Maut Ka Toofan,1935,-,-
tt0298939,Jagriti,1977,-,-
tt13914378,The Village Project,2019,-,-
tt9108892,Harami,2020,7.5,894
-,Sarhad Wale Daddy,2021,-,-
tt0154548,Grihalaxmi,1934,-,-
tt0231350,Chenghiz Khan,1957,-,-
tt0132166,Foot Path,1953,7.4,53
tt4654660,Aas,1978,-,-
tt0029060,Izzat,1937,6.1,17
tt0364196,Aaj Kie Aurat,1993,4.1,11
tt0063003,Gauri,1968,6.6,38
-,The Difference,I,-,-
tt0300033,Intaquam,1969,6.9,47
tt0139529,Pinjre Ke Panchhi,1966,5.8,12
tt3184370,Bahake Kadam,1971,-,-
tt7180544,The Brawler,2017,8.0,"6,694"
tt0976026,Cheeni Kum,2007,6.8,"4,953"
tt3074802,Daku Munni Bai,1991,7.7,32
tt0091105,Genesis,1986,6.8,112
tt0430133,Gehra Zakhm,1981,-,-
tt0231334,Chandragupta,1934,-,-
tt0391553,Zamane Se Poocho,1976,-,-
tt1039900,Janani,2006,4.4,28
tt0088442,Zameen Aasmaan,1984,5.5,44
tt10137062,Uththama Rasa,1993,-,-
tt0363525,Commando,1988,4.2,169
tt0139047,Bahen,1941,6.0,10
tt1320195,Maa O Maa,1990,-,-
tt4896974,Chimanee Pakhre,2000,8.1,11
tt0364519,Millitary Raaj,1998,5.9,49
tt0386290,Anuraag,1956,-,-
tt3744120,Khilthi Umar,2000,-,-
tt0425957,Doag,1952,-,-
tt8407560,22 Days,2018,5.6,7
tt3852234,Ek Aur Maut,2001,-,-
tt10098288,Roohi,2021,4.2,"5,716"
tt5775220,Noor,I 2017,4.0,"1,414"
tt0340464,Zindagi Khoobsoorat Hai,2002,5.7,49
tt0137361,Anupama,1966,7.4,403
tt9144702,Haq E Sailani,2017,-,-
tt4887242,Waqt Ka Badshah,2005,-,-
tt0206020,Hote Hote Pyar Hogaya,1999,5.1,287
tt10133460,Panchamirtham,2008,7.1,7
tt0243550,Shankar Dada,1976,6.5,26
tt1454012,Kaun Kare Kurbanie,1991,3.2,47
tt12788654,Stop or I Will Shoot,2019,-,-
tt0139584,Sanjh Aur Savera,1964,6.9,49
tt0139534,Pooja,1940,-,-
tt0414953,Dukaan: Pila House,2004,4.0,10
tt4276378,Biwi Tumhari Bachche Hamare,2004,-,-
tt1217572,Gumnam Hai Koi,2001,2.4,21
tt14039326,Auto Rickshawala,2018,-,-
tt11079552,A Game Called Relationship,2020,5.7,177
tt0357881,Mahasati Behula,1964,-,-
tt0177497,Aaj Ka Mahaatma,1976,3.5,23
tt5329194,Nari Teri Shakti Anokhi,2014,-,-
tt0233344,Bindiya,1946,-,-
-,Hanuman,,-,-
tt6404062,Kaaya,2016,-,-
tt4552546,3 Storeys,2018,6.9,352
tt0402606,Suno Sasurjee,2004,2.5,145
tt1907660,Ek Din... Achanak,2011,4.9,17
tt0242635,Mahabali Hanuman,1981,6.9,21
tt0362302,Wamaq Azra,1935,-,-
tt0341563,Sawan Bhadon,1970,6.6,40
tt0242951,Tilottama,1954,-,-
tt3669088,Aaj Ka Maseeha,1995,-,-
tt3383092,Inquilab Zindabad,1975,-,-
tt1107313,Cocktail: The Deadly Combination,2007,-,-
tt0451935,Swarg Se Sundar Desh Hamara,1959,-,-
tt0360778,Mard Ka Bachcha,1936,-,-
tt2450994,Pakauu,2012,-,-
tt11669388,Mhara Gaon Mhara Desh,2004,-,-
tt0251317,Pardesi Saiyan,1935,-,-
tt2782720,Shabnam,1993,-,-
tt0481241,Trinetra,1991,5.1,71
tt9777478,Nabbbeyy,2013,-,-
tt0250121,Yeh Nazdeekiyan,1982,6.5,30
tt0158179,Safed Jhoot,1978,5.5,23
tt0878098,Apna Banake Dekho,1962,5.6,5
tt0156576,Goonj Uthi Shehnai,1959,7.6,32
tt2804896,Toofan Rani,1985,-,-
tt0435079,Jangal Mein Mangal,1972,6.7,64
tt1016044,Yehi Hai Zindagi,2005,5.8,16
tt3100306,Kaurav Pandav,1970,-,-
tt0823607,Mehboob Mere Mehboob,1992,6.2,10
tt7946836,Animal World,2018,6.5,"3,808"
tt0424215,Kasturi,1954,-,-
tt0214031,Radhika,1941,-,-
tt7518742,Ek Ke Upar Do,2018,-,-
tt14433692,Dilli Kaand,2021,-,-
tt7314994,Mmirsa,2016,8.0,13
tt4976518,Julmo Sitam,1998,-,-
tt0377776,Dhoom Dham,1949,-,-
tt0248617,Yaadein...,2001,4.4,"3,285"
tt0234717,Shirin Farhad,1931,-,-
tt0260222,Naseeb Apna Apna,1986,5.6,159
-,Last Bath,,-,-
tt12887646,Baabul Ki Dua,2020,-,-
tt0213922,Nandakumar,II 1938,-,-
tt0383611,Saheli,1965,6.4,10
tt10168772,Golmaal Kids,2017,-,-
tt0341554,Saath Saath,1982,7.1,254
tt0430381,Musafir,2004,5.5,"1,720"
tt8743140,Unmaad,2018,8.3,7
tt0273478,Brahmachari,II 1938,-,-
